process,model,case,score,rate,rate_sd
RW,MLPQR,A4,S_gls_pool,0.1877777777777778,0.009622504486493762
RW,MLPQR,A4,S_mean,0.8277777777777778,0.008388704928078623
RW,MLPQR,N0,S_gls_emp,0.09444444444444444,0.009622504486493762
RW,MLPQR,N0,S_gls_pert,0.11555555555555556,0.011706281947614158
RW,MLPQR,N0,S_gls_pool,0.11555555555555556,0.012619796324000605
RW,MLPQR,N0,S_mean,0.77,0.018559214542766746
RW,MLPQR_CAL,A0,S_gls_emp,0.007777777777777778,0.0038490017945975053
RW,MLPQR_CAL,A0,S_gls_pert,0.013333333333333334,0.0033333333333333327
RW,MLPQR_CAL,A0,S_gls_pool,0.01,0.0033333333333333335
RW,MLPQR_CAL,A0,S_mean,0.4633333333333334,0.027284509239574834
RW,MLPQR_CAL,A1,S_gls_emp,0.06,0.008819171036881967
RW,MLPQR_CAL,A1,S_gls_pert,0.08,0.012018504251546625
RW,MLPQR_CAL,A1,S_gls_pool,0.07444444444444444,0.010183501544346305
RW,MLPQR_CAL,A1,S_mean,0.7555555555555555,0.013471506281091325
RW,MLPQR_CAL,A2,S_gls_emp,0.08666666666666667,0.016666666666666663
RW,MLPQR_CAL,A2,S_gls_pert,0.10444444444444445,0.016777409856157218
RW,MLPQR_CAL,A2,S_gls_pool,0.09666666666666668,0.012018504251546632
RW,MLPQR_CAL,A2,S_mean,0.7366666666666667,0.02027587510099405
RW,MLPQR_CAL,A3,S_gls_emp,0.06444444444444446,0.0019245008972987479
RW,MLPQR_CAL,A3,S_gls_pert,0.0811111111111111,0.0076980035891950115
RW,MLPQR_CAL,A3,S_gls_pool,0.08,0.008819171036881969
RW,MLPQR_CAL,A3,S_mean,0.7044444444444444,0.01575271875417537
RW,MLPQR_CAL,A4,S_gls_emp,0.10333333333333333,0.0057735026918962545
RW,MLPQR_CAL,A4,S_gls_pert,0.12666666666666668,0.008819171036881956
RW,MLPQR_CAL,A4,S_gls_pool,0.12,0.005773502691896261
RW,MLPQR_CAL,A4,S_mean,0.7644444444444445,0.0164429428743875
RW,MLPQR_CAL,N0,S_gls_emp,0.06555555555555555,0.0019245008972987479
RW,MLPQR_CAL,N0,S_gls_pert,0.08222222222222221,0.001924500897298751
RW,MLPQR_CAL,N0,S_gls_pool,0.07555555555555556,0.005091750772173155
RW,MLPQR_CAL,N0,S_mean,0.7077777777777777,0.00838870492807866
RW,ORACLE,A0,S_gls_emp,0.0,0.0
RW,ORACLE,A0,S_gls_pert,0.0,0.0
RW,ORACLE,A0,S_gls_pool,0.0,0.0
RW,ORACLE,A0,S_mean,0.0,0.0
RW,ORACLE,A1,S_gls_emp,0.0,0.0
RW,ORACLE,A1,S_gls_pert,0.0,0.0
RW,ORACLE,A1,S_gls_pool,0.0,0.0
RW,ORACLE,A1,S_mean,1.0,0.0
RW,ORACLE,A2,S_gls_emp,0.09000000000000001,0.0066666666666666645
RW,ORACLE,A2,S_gls_pert,0.08555555555555555,0.011706281947614154
RW,ORACLE,A2,S_gls_pool,0.08555555555555555,0.011706281947614154
RW,ORACLE,A2,S_mean,0.7022222222222222,0.010715167512214442
RW,ORACLE,A3,S_gls_emp,0.061111111111111116,0.007698003589195018
RW,ORACLE,A3,S_gls_pert,0.056666666666666664,0.0033333333333333314
RW,ORACLE,A3,S_gls_pool,0.056666666666666664,0.0033333333333333314
RW,ORACLE,A3,S_mean,0.6877777777777778,0.021169509870286263
RW,ORACLE,A4,S_gls_emp,0.17444444444444443,0.013877773329774206
RW,ORACLE,A4,S_gls_pert,0.16555555555555557,0.006938886664887114
RW,ORACLE,A4,S_gls_pool,0.16555555555555557,0.006938886664887114
RW,ORACLE,A4,S_mean,0.7799999999999999,0.02027587510099407
RW,ORACLE,N0,S_gls_emp,0.05555555555555556,0.006938886664887111
RW,ORACLE,N0,S_gls_pert,0.051111111111111114,0.0038490017945975057
RW,ORACLE,N0,S_gls_pool,0.051111111111111114,0.0038490017945975057
RW,ORACLE,N0,S_mean,0.6866666666666666,0.02027587510099405
SEAS,MLPQR,A0,S_gls_emp,0.03,0.01452966314513558
SEAS,MLPQR,A0,S_gls_pert,0.25666666666666665,0.027284509239574855
SEAS,MLPQR,A0,S_gls_pool,0.10333333333333333,0.017320508075688773
SEAS,MLPQR,A0,S_mean,0.4488888888888889,0.018358568490953662
SEAS,MLPQR,A1,S_gls_emp,0.3977777777777778,0.018358568490953693
SEAS,MLPQR,A1,S_gls_pert,0.5533333333333333,0.018559214542766666
SEAS,MLPQR,A1,S_gls_pool,0.5288888888888889,0.019531550923607727
SEAS,MLPQR,A1,S_mean,0.7933333333333333,0.010000000000000009
SEAS,MLPQR,A2,S_gls_emp,0.2544444444444445,0.02036700308869263
SEAS,MLPQR,A2,S_gls_pert,0.43777777777777777,0.0019245008972987808
SEAS,MLPQR,A2,S_gls_pool,0.3544444444444444,0.025458753860865744
SEAS,MLPQR,A2,S_mean,0.6666666666666666,0.01763834207376403
SEAS,MLPQR,A3,S_gls_emp,0.11111111111111112,0.009622504486493759
SEAS,MLPQR,A3,S_gls_pert,0.29777777777777775,0.003849001794597518
SEAS,MLPQR,A3,S_gls_pool,0.18000000000000002,0.023333333333333345
SEAS,MLPQR,A3,S_mean,0.5077777777777778,0.025239592648001196
SEAS,MLPQR,A4,S_gls_emp,0.17444444444444443,0.02523959264800121
SEAS,MLPQR,A4,S_gls_pert,0.3744444444444444,0.027755546659548443
SEAS,MLPQR,A4,S_gls_pool,0.26,0.02645751311064591
SEAS,MLPQR,A4,S_mean,0.5733333333333334,0.030550504633038916
SEAS,MLPQR,N0,S_gls_emp,0.10333333333333333,0.0033333333333333357
