process,model,case,seed,score,auroc,auprc,tpr_at_fpr5,n0_mean,case_mean
AR1,MLPQR,A2,2,S_band,0.5823333333333333,0.6042581704261376,0.13,0.38208333333333333,0.4315625
AR1,MLPQR,A2,2,S_mean,0.6410888888888889,0.6681233919794723,0.20666666666666667,2.877418359337966,4.203967450011241
AR1,MLPQR,A2,2,S_gls_pert,0.6180555555555556,0.611416033460723,0.12,1.7859582798082514,2.632562216826703
AR1,MLPQR,A2,2,S_gls_pool,0.6611555555555555,0.6860753074351327,0.22,1.0097999047327473,1.5571713580042508
AR1,MLPQR,A2,2,S_gls_emp,0.6452222222222221,0.6867539914586323,0.23,1.0292714981477722,1.5430819099944055
AR1,MLPQR,A2,2,S_chi2,0.6096888888888888,0.6277485801652,0.13333333333333333,3.1028478110526043,4.389998929421409
AR1,MLPQR,A2,2,S_maha,0.5427111111111111,0.5353848872823973,0.07333333333333333,62.20811471447169,67.17349516287037
AR1,MLPQR,A3,2,S_max,0.5526666666666666,0.5294797389912835,0.0,2.4467668010245247,2.557524105669175
AR1,MLPQR,A3,2,S_band,0.5376777777777778,0.5258829768268793,0.05333333333333334,0.38208333333333333,0.4005208333333333
AR1,MLPQR,A3,2,S_mean,0.49997777777777774,0.5032956803637898,0.05,2.877418359337966,2.871207532210761
AR1,MLPQR,A3,2,S_gls_pert,0.49245555555555554,0.5033103621683088,0.056666666666666664,1.7859582798082514,1.7915331281885112
AR1,MLPQR,A3,2,S_gls_pool,0.4998666666666667,0.5008268452859801,0.04666666666666667,1.0097999047327473,1.0081802713622112
AR1,MLPQR,A3,2,S_gls_emp,0.49711111111111117,0.5050016194881348,0.05,1.0292714981477722,1.0261477343621748
AR1,MLPQR,A3,2,S_chi2,0.5589,0.5415243703139277,0.06666666666666667,3.1028478110526043,3.534244285677926
AR1,MLPQR,A3,2,S_maha,0.6461444444444444,0.6032755096497042,0.08333333333333333,62.20811471447169,75.86986513063627
AR1,MLPQR,A4,2,S_max,0.7176666666666666,0.6422805437362524,0.0,2.4467668010245247,2.573408235243588
AR1,MLPQR,A4,2,S_band,0.7949555555555555,0.7688961676057814,0.23333333333333334,0.38208333333333333,0.54625
AR1,MLPQR,A4,2,S_mean,0.5475000000000001,0.5802665663284537,0.12333333333333334,2.877418359337966,3.3887239291165097
AR1,MLPQR,A4,2,S_gls_pert,0.5729666666666666,0.5736202764299635,0.09666666666666666,1.7859582798082514,2.4429778365816452
AR1,MLPQR,A4,2,S_gls_pool,0.5613,0.598896950101026,0.13333333333333333,1.0097999047327473,1.2570303457743193
AR1,MLPQR,A4,2,S_gls_emp,0.5414555555555556,0.5982190488422019,0.15,1.0292714981477722,1.2508677612209813
AR1,MLPQR,A4,2,S_chi2,0.8451444444444445,0.8339115178363021,0.34,3.1028478110526043,7.210524058913964
AR1,MLPQR,A4,2,S_maha,0.8385333333333334,0.7836943768951405,0.21333333333333335,62.20811471447169,112.99882636869002
AR1,MLPQR_CAL,A0,0,S_max,0.006544444444444449,0.3079030543141588,0.0,1.9181094295919423,0.8721300885371538
AR1,MLPQR_CAL,A0,0,S_band,0.03111666666666669,0.46469659463167085,0.006666666666666667,0.21354166666666666,0.012604166666666666
AR1,MLPQR_CAL,A0,0,S_mean,0.4025444444444444,0.4293825741398458,0.023333333333333334,2.0507482501045073,1.5608094834449813
AR1,MLPQR_CAL,A0,0,S_gls_pert,0.40674444444444446,0.43842782229600374,0.03333333333333333,1.3210461732266272,0.9601437325160562
AR1,MLPQR_CAL,A0,0,S_gls_pool,0.3949222222222222,0.42491073530081735,0.023333333333333334,0.7947564017059833,0.592725258432172
AR1,MLPQR_CAL,A0,0,S_gls_emp,0.39556666666666673,0.4210523450592334,0.02,0.8156122263988594,0.5936494203197881
AR1,MLPQR_CAL,A0,0,S_chi2,0.9214111111111111,0.8953294302612399,0.74,1.2049282939485777,2.9666682091255248
AR1,MLPQR_CAL,A0,0,S_maha,0.020000000000000004,0.30943399042347336,0.006666666666666667,34.12458681086339,4.9083059866570755
AR1,MLPQR_CAL,A1,0,S_max,0.08542777777777778,0.3182512559828745,0.0,1.9181094295919423,1.2537557379890818
AR1,MLPQR_CAL,A1,0,S_band,0.22774999999999998,0.45355567022232934,0.05,0.21354166666666666,0.105625
AR1,MLPQR_CAL,A1,0,S_mean,0.7627555555555555,0.7668990307185708,0.2966666666666667,2.0507482501045073,3.772394842736528
AR1,MLPQR_CAL,A1,0,S_gls_pert,0.7080444444444445,0.6904213295169028,0.17333333333333334,1.3210461732266272,2.6329230611954224
AR1,MLPQR_CAL,A1,0,S_gls_pool,0.7847222222222221,0.7821541990545375,0.3,0.7947564017059833,1.5164748875273868
AR1,MLPQR_CAL,A1,0,S_gls_emp,0.7704111111111112,0.7658986712361178,0.2966666666666667,0.8156122263988594,1.5158935078724967
AR1,MLPQR_CAL,A1,0,S_chi2,0.7077222222222224,0.7247134205696354,0.3233333333333333,1.2049282939485777,2.0245887630515376
AR1,MLPQR_CAL,A1,0,S_maha,0.11512222222222224,0.3617544367997504,0.056666666666666664,34.12458681086339,17.78298321232631
AR1,MLPQR_CAL,A2,0,S_max,0.5302444444444445,0.5167155937246048,0.006666666666666667,1.9181094295919423,1.9372437833293952
AR1,MLPQR_CAL,A2,0,S_band,0.5793444444444446,0.586428120619169,0.08666666666666667,0.21354166666666666,0.2557291666666667
AR1,MLPQR_CAL,A2,0,S_mean,0.6084666666666667,0.6371900898523721,0.17,2.0507482501045073,2.807493950537423
AR1,MLPQR_CAL,A2,0,S_gls_pert,0.5844444444444444,0.6033961740732674,0.12333333333333334,1.3210461732266272,2.0658161614728163
AR1,MLPQR_CAL,A2,0,S_gls_pool,0.6113999999999999,0.6499398357435289,0.19333333333333333,0.7947564017059833,1.1198492170897218
AR1,MLPQR_CAL,A2,0,S_gls_emp,0.6229555555555556,0.6516207717366245,0.20666666666666667,0.8156122263988594,1.1654151950075535
AR1,MLPQR_CAL,A2,0,S_chi2,0.5430555555555556,0.5800032518887386,0.14333333333333334,1.2049282939485777,1.4623080412399232
AR1,MLPQR_CAL,A2,0,S_maha,0.5475555555555556,0.5575944958507681,0.08666666666666667,34.12458681086339,40.315375626511816
AR1,MLPQR_CAL,A3,0,S_max,0.5743944444444444,0.5398509630424797,0.03666666666666667,1.9181094295919423,1.991195339995163
AR1,MLPQR_CAL,A3,0,S_band,0.5539333333333333,0.5366514225042022,0.04666666666666667,0.21354166666666666,0.2353125
AR1,MLPQR_CAL,A3,0,S_mean,0.4891944444444445,0.4931982903983586,0.05333333333333334,2.0507482501045073,1.991030856220832
AR1,MLPQR_CAL,A3,0,S_gls_pert,0.4948944444444445,0.5059439192870343,0.06333333333333334,1.3210461732266272,1.3340811321892807
AR1,MLPQR_CAL,A3,0,S_gls_pool,0.48830555555555555,0.4933302676766341,0.06,0.7947564017059833,0.7733531246194252
AR1,MLPQR_CAL,A3,0,S_gls_emp,0.49392777777777785,0.495859349524696,0.04666666666666667,0.8156122263988594,0.7982146845431355
AR1,MLPQR_CAL,A3,0,S_chi2,0.47099444444444444,0.4934595452289578,0.06333333333333334,1.2049282939485777,1.1492769637677478
AR1,MLPQR_CAL,A3,0,S_maha,0.6519611111111111,0.6218423046988744,0.11666666666666667,34.12458681086339,42.638918956779115
AR1,MLPQR_CAL,A4,0,S_max,0.7776111111111111,0.7292136936104755,0.11,1.9181094295919423,2.092985778677236
AR1,MLPQR_CAL,A4,0,S_band,0.8491611111111111,0.8293198820031066,0.3233333333333333,0.21354166666666666,0.4141666666666667
AR1,MLPQR_CAL,A4,0,S_mean,0.5645555555555556,0.6015788054564543,0.16,2.0507482501045073,2.568935560260668
AR1,MLPQR_CAL,A4,0,S_gls_pert,0.5549333333333333,0.5554421739173527,0.08,1.3210461732266272,1.6738580653272017
AR1,MLPQR_CAL,A4,0,S_gls_pool,0.5713,0.6112950495463261,0.16666666666666666,0.7947564017059833,1.0150964727120266
AR1,MLPQR_CAL,A4,0,S_gls_emp,0.5605222222222223,0.5940254724779415,0.15666666666666668,0.8156122263988594,1.013805350796361
AR1,MLPQR_CAL,A4,0,S_chi2,0.7627555555555556,0.8065205670367007,0.49,1.2049282939485777,2.7238127855988825
AR1,MLPQR_CAL,A4,0,S_maha,0.8441000000000001,0.8080285627615132,0.2866666666666667,34.12458681086339,61.365991189976945
