process,model,seed,horizon,z_mean,z_var,psi,psi_theory,n_eff_pert,n_eff_pert_med,n_eff_pool,n_eff_ema,n_eff_hybrid,n_eff_b,n_eff_emp,R_frobenius
AR1,ORACLE,0,1,-0.0378370353268192,1.0224463335195628,0.7,0.7,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,2,0.038987040308285106,0.9539256772842585,0.49,0.48999999999999994,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,3,0.019150821341137235,0.8776485103457696,0.343,0.3429999999999999,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,4,0.0457510267563767,0.9893760921665993,0.24009999999999995,0.24009999999999992,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,5,-0.05141152200269315,0.9933234453739658,0.16806999999999994,0.16806999999999994,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,6,0.001928242169107257,0.8956264263100657,0.11764899999999998,0.11764899999999996,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,7,-0.003191735005743131,0.8869992547132548,0.08235429999999996,0.08235429999999996,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,8,0.0428018231533394,0.9583424088454978,0.057648009999999986,0.05764800999999997,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,9,0.07115652699345287,1.121727064921156,0.040353606999999986,0.04035360699999998,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,10,0.06580510711813921,0.9984984434119015,0.02824752489999998,0.02824752489999998,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,11,0.019984978913400998,0.9730624915235664,0.01977326742999999,0.019773267429999988,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,12,-0.061450490704727787,0.8509694574326263,0.013841287200999988,0.01384128720099999,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,13,-0.005007552519902762,0.7952355263759286,0.009688901040699992,0.009688901040699992,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,14,-0.03359526687375849,0.9886943666044139,0.006782230728489994,0.006782230728489994,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,15,0.02383759457717507,1.0693720571683647,0.004747561509942996,0.004747561509942996,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,16,0.10660001001693745,0.9683320715907818,0.003323293056960097,0.0033232930569600965,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,17,0.056907262223622475,0.927420682025789,0.002326305139872068,0.0023263051398720674,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,18,-0.0013738873904465324,0.9143379999773871,0.001628413597910447,0.001628413597910447,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,19,0.004573333152355238,0.9690109209625045,0.001139889518537313,0.001139889518537313,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,20,-0.01612503041861432,0.9416561632741337,0.0007979226629761189,0.0007979226629761189,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,21,-0.09190518899061828,0.8759736207953466,0.0005585458640832833,0.0005585458640832833,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,22,-0.14204221965741576,0.8635605452352227,0.0003909821048582983,0.00039098210485829826,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,23,-0.09405253562624442,0.9381857940622937,0.0002736874734008088,0.0002736874734008088,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,24,-0.08955408830227617,0.8721464411064346,0.00019158123138056615,0.00019158123138056612,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,25,-0.08211060846456189,0.8578938589335269,0.00013410686196639626,0.00013410686196639628,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,26,-0.13548905516450124,0.8811372827594979,9.38748033764774e-05,9.387480337647739e-05,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,27,-0.07986708375673834,0.8701159997190636,6.571236236353417e-05,6.571236236353417e-05,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,28,-0.01623610945100207,0.866434634199547,4.599865365447393e-05,4.5998653654473914e-05,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,29,-0.05012647270107725,0.8144683425400195,3.219905755813174e-05,3.219905755813174e-05,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,30,-0.024009288635884696,0.8128994689391332,2.253934029069222e-05,2.2539340290692216e-05,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,31,-0.02405909362332336,0.8541003618520762,1.5777538203484548e-05,1.5777538203484548e-05,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
AR1,ORACLE,0,32,-0.0032274073492046303,0.8557474798034564,1.1044276742439184e-05,1.1044276742439184e-05,6.887301804084822,6.8873018040848235,6.887301804084823,6.887301804084824,7.016715092136486,3.922061297970645,7.336101434591747,1.2937854754703884
SEAS,ORACLE,0,1,0.025398278662499107,0.9464329667644722,0.6999999999999997,0.7,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,2,-0.010543124665095615,0.9777783411525525,0.4899999999999998,0.48999999999999994,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,3,-0.07887967206593258,0.9531670347014185,0.3429999999999997,0.3429999999999999,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,4,-0.0555712438640071,0.8946323702910828,0.24009999999999976,0.24009999999999992,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,5,-0.04902841773611582,0.8677572727663035,0.16806999999999978,0.16806999999999994,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,6,-0.020806409348118345,0.9601887248204384,0.11764899999999998,0.11764899999999996,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,7,-0.001542196101512762,0.9255825973528937,0.08235429999999991,0.08235429999999996,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,8,0.04634824380455485,0.8980163038312118,0.05764801,0.05764800999999997,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,9,0.1223850397544242,0.8662471489109934,0.040353607,0.04035360699999998,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,10,0.10132626796711122,0.8332282363083973,0.028247524900000032,0.02824752489999998,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,11,0.06833221873529685,0.975340344594282,0.019773267430000036,0.019773267429999988,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
